"","","","","","","","","Statistics","","","","","","","","","","",""
"#","Variable Name","Distribution","Vars In Coeff","GT Coeff","Prior Coeff","Mean Coeff","STD","HDI_3%","HDI_97%","MCSE_Mean","MCSE_STD","MCSE_Mean %","ESS_Bulk","ESS_Tail","R_hat","Data Influence","Cohens D","Model Transform","Contribution Group"
"30","AMAZON_MEDIA_Search_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.2016584724","0.0414126823","0.0388962142","0.04141268","0.01102571","0.02271883","0.0582499","0.00014675","0.00010413","0.0035436007","5395.92971592","2027.6740136","0.99994987","1.017745796","0.2171967345","SUB","Amazon Search"
"31","AMAZON_MEDIA_Display_IMPRESSIONS_GRP|CoverCurve(1,0.95,0.5)","TruncatedNormal","0.0263288375","0.0424479727","0.0414515771","0.04244797","0.01159417","0.02386922","0.06191461","0.00020443","0.00014456","0.0048160136","2889.496603","1755.07844878","1.00020863","1.0095444521","0.1021371372","SUB","Amazon Display"
"32","AMAZON_MEDIA_Video_IMPRESSIONS_GRP|CoverCurve(1,0.8,0.5)","TruncatedNormal","0.0329027697","0.0352660801","0.0376595855","0.03526608","0.01069455","0.01883007","0.05305967","0.00016488","0.00012228","0.0046753141","3705.46698878","1719.06261586","1.00045975","1.0278029464","0.192329768","SUB","Amazon Video"
"33","AMAZON_KPI_GMI_NV_SNS_NEW_DISCOUNT","Normal","1.3437365294","1.3235814067","1.0866903067","1.32358141","0.18400289","0.97453702","1.65707455","0.00429192","0.00304567","0.0032426566","1837.6586001","2169.84731415","1.00018147","12.3106427839","0.0656563374","SUB","Promotion"
"34","NV_Amazon Launches Q22021_3mdvs","TruncatedNormal","3.7106118202","0.6608994919","0.8000000119","0.66089949","0.25215353","0.18129123","0.99996736","0.00401581","0.00283981","0.0060762795","3875.69841409","1885.7574305","1.00052553","1.1235769731","0.529033026","SUB","Launches"
"35","NV_Amazon Launches Q42022_3mdvs","TruncatedNormal","-9.6653852463","0.5252508336","0.8000000119","0.52525083","0.28406413","0.06993128","0.99926946","0.0043808","0.00343216","0.0083403961","3674.06985727","1871.658214","0.99962941","1.0100678674","0.000002662","SUB","Launches"
"36","NV_Amazon Launches Q32022_3mdvs","TruncatedNormal","7.6969480515","0.5349910137","0.8000000119","0.53499101","0.2857355","0.08121405","0.99797658","0.00423149","0.00313337","0.00790946","4039.32151921","1986.91552996","0.99978339","0.9915299989","0.0435534665","SUB","Launches"
"37","NV_Amazon Launches Q32021_3mdvs","TruncatedNormal","3.6456410885","0.6426385435","0.8000000119","0.64263854","0.26265983","0.16095765","0.99955787","0.00421943","0.00298381","0.0065657905","4081.18968965","1856.66746836","1.00343235","1.0698758162","0.3989207486","SUB","Launches"
"38","AMAZON_KPI_GMI_NATURE VALLEY_DEPTH_OF_DISCOUNT_NEW","Normal","0.5688256025","0.5015609623","0.4503955245","0.50156096","0.11581667","0.28019324","0.71637761","0.00225928","0.00159773","0.0045044973","2637.84317488","2144.1791449","1.00123554","7.7754748086","0.083188948","SUB","Promotion"
"39","AMAZON_KPI_GMI_NATURE VALLEY_DEPTH_OF_DISCOUNT_NEW|Split","Normal","1.4033820629","1.1491684759","1.4680324793","1.14916848","0.5886079","0.01511164","2.25065625","0.01128071","0.00814469","0.0098164109","2729.30771669","2365.19257171","0.9994838","5.0094147904","0.1354926578","SUB","Promotion"
"40","Amazon Step_Jan 24","Normal","0.173461169","0.2153288887","-0.173461169","0.21532889","0.01983356","0.18110126","0.25561409","0.00038902","0.00027511","0.0018066317","2592.81545824","2365.49192502","1.00035161","48.4837099341","0.5787241734","SUB","Others"
"99999","likelihood_sigma","","","","","0.06370713","0.0039298","0.0568534","0.07117002","0.00007199","0.00005119","0.0011300148","3011.70612194","2028.0146495","1.00124529","153.5908290498","1.8453393693","",""
